Date,Close,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Αλλ.%
11.04.2024,"39.442,63","39.090,68","39.473,48","39.065,31","1,07B","-0,35%"
10.04.2024,"39.581,81","39.582,33","39.708,70","39.510,48","974,16M","-0,48%"
09.04.2024,"39.773,13","39.496,95","39.773,13","39.476,13","1,06B","1,08%"
08.04.2024,"39.347,04","39.391,98","39.617,36","39.197,00","1,08B","0,91%"
05.04.2024,"38.992,08","39.237,39","39.274,76","38.774,24","1,30B","-1,96%"
04.04.2024,"39.773,14","39.928,33","40.243,02","39.773,14","1,45B","0,81%"
03.04.2024,"39.451,85","39.503,72","39.625,90","39.217,04","1,23B","-0,97%"
02.04.2024,"39.838,91","39.892,59","40.151,05","39.707,87","1,16B","0,09%"
01.04.2024,"39.803,09","40.646,70","40.697,22","39.706,45","1,35B","-1,40%"
29.03.2024,"40.369,44","40.277,45","40.521,71","40.268,11","1,22B","0,50%"
28.03.2024,"40.168,07","40.324,42","40.482,02","40.054,06","1,36B","-1,46%"
27.03.2024,"40.762,73","40.517,17","40.979,36","40.452,21","1,21B","0,90%"
26.03.2024,"40.398,03","40.345,04","40.529,53","40.280,85","1,01B","-0,04%"
25.03.2024,"40.414,12","40.798,96","40.837,18","40.414,12","1,01B","-1,16%"
22.03.2024,"40.888,43","40.942,88","41.087,75","40.714,14","1,36B","0,18%"
21.03.2024,"40.815,66","40.511,55","40.823,32","40.452,19","1,57B","2,03%"
19.03.2024,"40.003,60","39.622,58","40.003,60","39.407,50","1,35B","0,66%"
18.03.2024,"39.740,44","38.960,99","39.769,11","38.935,47","1,29B","2,67%"
15.03.2024,"38.707,64","38.548,16","38.808,68","38.519,94","1,67B","-0,26%"
14.03.2024,"38.807,38","38.591,73","38.840,33","38.400,17","1,11B","0,29%"
13.03.2024,"38.695,97","39.059,95","39.147,80","38.452,57","1,05B","-0,26%"
12.03.2024,"38.797,51","38.470,39","38.841,80","38.271,38","1,13B","-0,06%"
11.03.2024,"38.820,49","39.232,14","39.241,28","38.496,66","1,33B","-2,19%"
08.03.2024,"39.688,94","39.809,56","39.989,33","39.551,60","1,43B","0,23%"
