Date,Open,High,Low,Close,Adj. close,Volume
15-Aug-23,4478.87,4478.87,4432.19,4437.86,4437.86,3832250000
14-Aug-23,4458.13,4490.33,4453.44,4489.72,4489.72,3896410000
11-Aug-23,4450.69,4476.23,4443.98,4464.05,4464.05,3753290000
10-Aug-23,4487.16,4527.37,4457.92,4468.83,4468.83,4504370000
9-Aug-23,4501.57,4502.44,4461.33,4467.71,4467.71,3803100000
8-Aug-23,4498.03,4503.31,4464.39,4499.38,4499.38,3884910000
7-Aug-23,4491.58,4519.84,4491.15,4518.44,4518.44,3493920000
4-Aug-23,4513.96,4540.34,4474.55,4478.03,4478.03,4143310000
3-Aug-23,4494.27,4519.49,4485.54,4501.89,4501.89,4149120000
2-Aug-23,4550.93,4550.93,4505.75,4513.39,4513.39,4270710000
1-Aug-23,4578.83,4584.62,4567.53,4576.73,4576.73,4042370000
31-Jul-23,4584.82,4594.22,4573.14,4588.96,4588.96,4503600000
28-Jul-23,4565.75,4590.16,4564.01,4582.23,4582.23,3981010000
27-Jul-23,4598.26,4607.07,4528.56,4537.41,4537.41,4553210000
26-Jul-23,4558.96,4582.47,4547.58,4566.75,4566.75,3990290000
25-Jul-23,4555.19,4580.62,4552.42,4567.46,4567.46,3812470000
24-Jul-23,4543.39,4563.41,4541.29,4554.64,4554.64,3856250000
21-Jul-23,4550.16,4555,4535.79,4536.34,4536.34,3570190000
20-Jul-23,4554.38,4564.74,4527.56,4534.87,4534.87,3761770000
19-Jul-23,4563.87,4578.43,4557.48,4565.72,4565.72,4115670000
18-Jul-23,4521.78,4562.3,4514.59,4554.98,4554.98,4090010000
17-Jul-23,4508.86,4532.85,4504.9,4522.79,4522.79,3538240000
14-Jul-23,4514.61,4527.76,4499.56,4505.42,4505.42,3647450000
13-Jul-23,4491.5,4517.38,4489.36,4510.04,4510.04,3839530000
12-Jul-23,4467.69,4488.34,4463.23,4472.16,4472.16,3920290000
11-Jul-23,4415.55,4443.64,4408.46,4439.26,4439.26,3624220000
10-Jul-23,4394.23,4412.6,4389.92,4409.53,4409.53,3429600000
7-Jul-23,4404.54,4440.39,4397.4,4398.95,4398.95,3630480000
6-Jul-23,4422.62,4422.62,4385.05,4411.59,4411.59,3682020000
5-Jul-23,4442.04,4454.06,4436.61,4446.82,4446.82,3482620000
3-Jul-23,4450.48,4456.46,4442.29,4455.59,4455.59,2034280000
30-Jun-23,4422.44,4458.48,4422.44,4450.38,4450.38,3923450000
29-Jun-23,4374.94,4398.39,4371.97,4396.44,4396.44,3696660000
28-Jun-23,4367.48,4390.35,4360.22,4376.86,4376.86,3739330000
27-Jun-23,4337.36,4384.42,4335,4378.41,4378.41,3573500000
26-Jun-23,4344.84,4362.06,4328.08,4328.82,4328.82,3415030000
23-Jun-23,4354.17,4366.55,4341.34,4348.33,4348.33,6053620000
22-Jun-23,4355.4,4382.25,4351.82,4381.89,4381.89,3511000000
