Date,Close,Open,High,Low,Vol.,Change %
08/24/2023,13463.97,13834.31,13834.68,13462.84,891.76M,-1.87%
08/23/2023,13721.03,13532.43,13757,13532.43,811.82M,1.59%
08/22/2023,13505.87,13593.95,13598.76,13484.38,780.24M,0.06%
08/21/2023,13497.59,13347.26,13516.86,13325.59,828.82M,1.56%
08/18/2023,13290.78,13190.02,13335.87,13161.76,980.92M,-0.20%
08/17/2023,13316.93,13527.3,13535.09,13303.45,956.29M,-1.17%
08/16/2023,13474.63,13593.17,13644.32,13473.03,993.03M,-1.15%
08/15/2023,13631.05,13760.48,13774.98,13611.93,816.65M,-1.14%
08/14/2023,13788.33,13599,13789.16,13582.49,836.91M,1.05%
08/11/2023,13644.85,13633.65,13720.33,13609.98,842.28M,-0.56%
08/10/2023,13721.03,13818.25,13947.16,13686.51,979.72M,0.12%
08/09/2023,13705.08,13897.61,13898.54,13698.39,1.06B,-1.17%
08/08/2023,13867.19,13875.45,13899.74,13769.34,1.04B,-0.79%
08/07/2023,13977.13,13972.45,13997.15,13864.92,957.81M,0.61%
08/04/2023,13892.07,14025.96,14119.22,13897.93,1.00B,-0.48%
08/03/2023,13959.71,13899.76,14032.28,13881.35,1.03B,-0.10%
08/02/2023,13973.45,14132.73,14133.85,13914.81,1.06B,-2.17%
08/01/2023,14283.91,14274.93,14309.21,14215.64,909.92M,-0.43%
07/31/2023,14346.02,14337.9,14370.91,14292.75,1.08B,0.21%
07/28/2023,14316.66,14199.83,14344.35,14188.1,937.55M,1.90%
07/27/2023,14050.11,14319.16,14360.2,14006.92,1.00B,-0.55%
07/26/2023,14127.28,14123.52,14187.35,14041.95,883.42M,-0.12%
07/25/2023,14144.55,14093.24,14201.91,14092.52,864.05M,0.61%
07/24/2023,14058.87,14081.63,14110.15,13997.13,812.22M,0.19%
07/21/2023,14032.8,14148.17,14179.01,14020.45,1.45B,-0.22%
07/20/2023,14063.31,14273.29,14309.92,14030.63,996.24M,-2.05%
07/19/2023,14358.02,14398.53,14446.55,14317.09,978.63M,0.03%
07/18/2023,14353.64,14212.25,14396.69,14176.11,930.20M,0.76%
07/17/2023,14244.95,14149.92,14274.41,14138,914.53M,0.93%
07/14/2023,14113.7,14166.66,14232.11,14081.96,996.35M,-0.18%
07/13/2023,14138.57,14021.15,14163.8,14012.24,962.46M,1.58%
07/12/2023,13918.96,13915.64,13963.45,13842.13,1.01B,1.15%
07/11/2023,13760.7,13709.82,13774.83,13643.32,913.10M,0.55%
07/10/2023,13685.48,13645.37,13692.41,13584.87,1.00B,0.18%
07/07/2023,13660.72,13668.07,13804.51,13656.74,949.89M,-0.13%
07/06/2023,13679.04,13653.17,13689.52,13567.25,1.04B,-0.82%
07/05/2023,13791.65,13772.1,13844.5,13764.25,937.60M,-0.18%
07/03/2023,13816.77,13798.7,13839.09,13773.41,583.70M,0.21%
