Date,Close,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Αλλ.%
11.05.2023,7381.78,"7.383,58","7.436,94","7.333,92","64,31M","0,28%"
10.05.2023,7361.2,"7.403,62","7.416,32","7.337,66","75,39M","-0,49%"
09.05.2023,7397.17,"7.415,01","7.419,90","7.358,45","63,46M","-0,59%"
08.05.2023,7440.91,"7.427,96","7.456,46","7.416,22","46,79M","0,11%"
05.05.2023,7432.93,"7.388,01","7.437,60","7.354,60","70,69M","1,26%"
04.05.2023,7340.77,"7.381,40","7.393,02","7.316,14","79,97M","-0,85%"
03.05.2023,7403.83,"7.410,56","7.445,95","7.395,82","61,11M","0,28%"
02.05.2023,7383.2,"7.466,82","7.505,92","7.374,06","83,04M","-1,45%"
28.04.2023,7491.5,"7.498,62","7.505,05","7.403,20","87,01M","0,10%"
27.04.2023,7483.84,"7.450,10","7.507,26","7.446,66","78,10M","0,23%"
26.04.2023,7466.66,"7.496,48","7.508,13","7.427,53","91,91M","-0,86%"
25.04.2023,7531.61,"7.528,15","7.541,72","7.504,26","73,95M","-0,56%"
24.04.2023,7573.86,"7.545,60","7.581,26","7.545,60","63,57M","-0,04%"
21.04.2023,7577,"7.551,50","7.577,00","7.518,32","73,19M","0,51%"
20.04.2023,7538.71,"7.541,68","7.546,07","7.506,92","72,89M","-0,14%"
19.04.2023,7549.44,"7.530,54","7.558,95","7.513,77","63,09M","0,21%"
18.04.2023,7533.63,"7.509,00","7.559,35","7.509,00","67,64M","0,47%"
17.04.2023,7498.18,"7.535,39","7.552,00","7.498,07","67,75M","-0,28%"
14.04.2023,7519.61,"7.500,77","7.533,41","7.491,43","71,86M","0,52%"
13.04.2023,7480.83,"7.450,76","7.485,59","7.450,76","59,15M","1,13%"
12.04.2023,7396.94,"7.396,81","7.463,67","7.379,79","63,58M","0,09%"
11.04.2023,7390.28,"7.381,77","7.403,67","7.370,09","73,19M","0,89%"
06.04.2023,7324.75,"7.328,57","7.344,34","7.312,61","67,27M","0,12%"
05.04.2023,7316.3,"7.350,03","7.359,40","7.300,33","76,91M","-0,39%"
04.04.2023,7344.96,"7.375,79","7.399,59","7.344,34","66,32M","-0,01%"
03.04.2023,7345.96,"7.341,69","7.362,39","7.332,64","64,07M","0,32%"
31.03.2023,7322.39,"7.271,19","7.341,79","7.264,82","84,34M","0,81%"
30.03.2023,7263.37,"7.222,69","7.292,39","7.222,69","73,85M","1,06%"
29.03.2023,7186.99,"7.141,05","7.201,25","7.125,12","78,05M","1,39%"
28.03.2023,7088.34,"7.145,66","7.154,56","7.066,27","71,63M","0,14%"
27.03.2023,7078.27,"7.103,53","7.119,59","7.039,09","80,20M","0,90%"
24.03.2023,7015.1,"7.108,16","7.108,66","6.953,58","117,53M","-1,74%"
23.03.2023,7139.25,"7.118,14","7.149,92","7.073,50","71,14M","0,11%"
22.03.2023,7131.12,"7.105,32","7.157,73","7.080,18","65,19M","0,26%"
21.03.2023,7112.91,"7.089,01","7.150,33","7.083,81","94,86M","1,42%"
20.03.2023,7013.14,"6.900,90","7.049,76","6.796,21","121,32M","1,27%"
17.03.2023,6925.4,"7.086,10","7.104,75","6.895,73","203,83M","-1,43%"
16.03.2023,7025.72,"6.987,63","7.063,31","6.876,61","132,83M","2,03%"
15.03.2023,6885.71,"7.123,20","7.123,20","6.861,63","174,80M","-3,58%"
14.03.2023,7141.57,"7.029,22","7.162,57","6.989,96","100,86M","1,86%"
13.03.2023,7011.5,"7.211,44","7.211,44","6.979,55","141,25M","-2,90%"
10.03.2023,7220.67,"7.193,37","7.256,48","7.166,89","99,78M","-1,30%"
09.03.2023,7315.88,"7.317,43","7.333,22","7.274,05","64,74M","-0,12%"
08.03.2023,7324.76,"7.305,92","7.346,62","7.305,92","56,91M","-0,20%"
