Date,Close,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Αλλ.%
15.07.2024,18590.89,"18.736,11","18.743,68","18.581,02","42,77M","-0,84%"
12.07.2024,18748.18,"18.534,49","18.779,40","18.528,39","49,83M","1,15%"
11.07.2024,18534.56,"18.409,70","18.578,45","18.409,65","50,93M","0,69%"
10.07.2024,18407.22,"18.236,75","18.420,13","18.236,75","49,28M","0,94%"
09.07.2024,18236.19,"18.471,35","18.473,00","18.213,98","56,40M","-1,28%"
08.07.2024,18472.05,"18.474,27","18.631,61","18.444,06","45,31M","-0,02%"
05.07.2024,18475.45,"18.450,59","18.650,36","18.420,57","45,50M","0,14%"
04.07.2024,18450.48,"18.375,96","18.468,16","18.375,68","34,33M","0,41%"
03.07.2024,18374.53,"18.181,71","18.395,60","18.181,71","59,16M","1,16%"
02.07.2024,18164.06,"18.286,86","18.286,86","18.030,49","57,15M","-0,69%"
01.07.2024,18290.66,"18.236,35","18.460,72","18.236,27","55,85M","0,30%"
28.06.2024,18235.45,"18.211,97","18.352,65","18.198,10","64,59M","0,14%"
27.06.2024,18210.55,"18.154,97","18.265,52","18.141,28","54,45M","0,30%"
26.06.2024,18155.24,"18.176,80","18.363,39","18.045,54","56,45M","-0,12%"
25.06.2024,18177.62,"18.300,42","18.307,61","18.075,75","54,13M","-0,81%"
24.06.2024,18325.58,"18.165,54","18.354,71","18.165,54","61,74M","0,89%"
21.06.2024,18163.52,"18.254,57","18.257,94","18.090,04","154,54M","-0,50%"
20.06.2024,18254.18,"18.068,67","18.254,18","18.068,58","59,52M","1,03%"
19.06.2024,18067.91,"18.131,35","18.148,01","18.055,63","52,04M","-0,35%"
18.06.2024,18131.97,"18.073,44","18.214,20","18.073,24","50,84M","0,35%"
17.06.2024,18068.21,"18.008,23","18.149,33","17.969,54","57,82M","0,37%"
14.06.2024,18002.02,"18.267,68","18.304,79","17.951,17","92,52M","-1,44%"
13.06.2024,18265.68,"18.632,01","18.632,01","18.253,42","72,49M","-1,96%"
12.06.2024,18630.86,"18.368,52","18.651,70","18.368,52","61,49M","1,42%"
11.06.2024,18369.94,"18.497,85","18.543,04","18.281,56","63,76M","-0,68%"
10.06.2024,18494.89,"18.550,33","18.550,33","18.359,42","53,45M","-0,34%"
07.06.2024,18557.27,"18.649,08","18.649,08","18.424,60","61,38M","-0,51%"
06.06.2024,18652.67,"18.576,58","18.784,65","18.576,58","60,88M","0,41%"
05.06.2024,18575.94,"18.406,06","18.624,36","18.406,06","63,88M","0,93%"
04.06.2024,18405.64,"18.608,30","18.608,30","18.365,53","81,41M","-1,09%"
03.06.2024,18608.16,"18.503,79","18.697,09","18.503,79","54,18M","0,60%"
31.05.2024,18497.94,"18.495,22","18.542,27","18.426,72","144,01M","0,01%"
30.05.2024,18496.79,"18.465,47","18.531,85","18.394,43","52,35M","0,13%"
29.05.2024,18473.29,"18.677,70","18.677,70","18.438,01","59,55M","-1,10%"
28.05.2024,18677.87,"18.775,55","18.855,05","18.635,04","52,67M","-0,52%"
27.05.2024,18774.71,"18.703,13","18.775,13","18.680,81","37,34M","0,44%"
24.05.2024,18693.37,"18.687,60","18.706,65","18.515,84","53,86M","0,01%"
23.05.2024,18691.32,"18.682,48","18.766,68","18.639,17","63,72M","0,06%"
22.05.2024,18680.2,"18.731,65","18.731,65","18.642,20","57,98M","-0,25%"
21.05.2024,18726.76,"18.768,64","18.768,64","18.638,14","65,73M","-0,22%"
20.05.2024,18768.96,"18.710,13","18.804,00","18.710,13","41,19M","0,35%"
17.05.2024,18704.42,"18.713,25","18.724,02","18.627,91","75,99M","-0,18%"
16.05.2024,18738.81,"18.874,85","18.890,78","18.716,33","76,32M","-0,69%"
15.05.2024,18869.36,"18.719,81","18.892,92","18.719,81","81,63M","0,82%"
14.05.2024,18716.42,"18.735,84","18.748,76","18.629,03","73,29M","-0,14%"
13.05.2024,18742.22,"18.773,24","18.799,77","18.706,08","66,37M","-0,16%"
10.05.2024,18772.85,"18.686,85","18.845,86","18.686,85","87,91M","0,46%"
09.05.2024,18686.6,"18.498,09","18.699,29","18.488,04","53,61M","1,02%"
08.05.2024,18498.38,"18.430,25","18.542,10","18.427,26","74,22M","0,37%"
07.05.2024,18430.05,"18.175,21","18.442,40","18.175,21","85,37M","1,40%"
06.05.2024,18175.21,"18.001,13","18.199,15","18.001,13","46,04M","1,01%"
03.05.2024,17993.69,"17.900,15","18.105,82","17.900,02","71,26M","0,54%"
02.05.2024,17896.5,"17.935,78","17.981,04","17.875,98","71,33M","-0,20%"
30.04.2024,17932.17,"18.119,93","18.153,69","17.920,72","88,21M","-1,03%"
29.04.2024,18118.32,"18.162,15","18.235,80","18.103,43","77,25M","-0,24%"
26.04.2024,18161.01,"17.920,73","18.199,71","17.920,73","76,01M","1,36%"
25.04.2024,17917.28,"18.088,17","18.100,75","17.795,96","101,52M","-0,95%"
24.04.2024,18088.7,"18.140,19","18.226,32","18.060,26","75,10M","-0,27%"
23.04.2024,18137.65,"17.861,20","18.144,66","17.861,20","68,53M","1,55%"
22.04.2024,17860.8,"17.738,04","17.889,47","17.738,04","62,45M","0,70%"
19.04.2024,17737.36,"17.834,83","17.834,87","17.626,90","79,45M","-0,56%"
18.04.2024,17837.4,"17.775,41","17.863,32","17.716,92","60,70M","0,38%"
17.04.2024,17770.02,"17.764,03","17.907,58","17.731,79","55,97M","0,02%"
16.04.2024,17766.23,"18.022,17","18.022,69","17.713,50","73,22M","-1,44%"
15.04.2024,18026.58,"17.937,62","18.191,95","17.937,62","65,14M","0,54%"
12.04.2024,17930.32,"17.965,95","18.162,56","17.860,73","78,99M","-0,13%"
11.04.2024,17954.48,"18.096,51","18.101,31","17.864,69","84,37M","-0,79%"
10.04.2024,18097.3,"18.078,89","18.239,50","17.975,84","83,35M","0,11%"
09.04.2024,18076.69,"18.318,40","18.318,51","18.058,22","65,28M","-1,32%"
08.04.2024,18318.97,"18.163,39","18.326,37","18.163,39","61,07M","0,79%"
05.04.2024,18175.04,"18.401,83","18.401,83","18.088,03","77,05M","-1,24%"
04.04.2024,18403.13,"18.366,37","18.427,43","18.340,24","62,52M","0,19%"
03.04.2024,18367.72,"18.281,82","18.376,08","18.281,82","76,33M","0,46%"
02.04.2024,18283.13,"18.492,36","18.567,16","18.275,94","82,08M","-1,13%"
28.03.2024,18492.49,"18.477,40","18.513,83","18.468,87","75,72M","0,08%"
27.03.2024,18477.09,"18.385,17","18.511,17","18.385,17","66,34M","0,50%"
26.03.2024,18384.35,"18.262,11","18.411,98","18.256,81","58,79M","0,67%"
25.03.2024,18261.31,"18.206,36","18.285,58","18.176,85","53,80M","0,30%"
22.03.2024,18205.94,"18.175,08","18.225,97","18.140,99","68,62M","0,15%"
21.03.2024,18179.25,"18.019,86","18.179,81","18.019,86","79,12M","0,91%"
20.03.2024,18015.13,"17.987,91","18.044,49","17.955,69","61,71M","0,15%"
19.03.2024,17987.49,"17.932,18","17.998,04","17.914,18","73,42M","0,31%"
18.03.2024,17932.68,"17.936,31","18.015,49","17.902,92","63,02M","-0,02%"
15.03.2024,17936.65,"17.938,14","18.038,11","17.926,72","202,91M","-0,03%"
14.03.2024,17942.04,"18.002,97","18.039,05","17.899,93","93,59M","-0,11%"
13.03.2024,17961.38,"17.984,50","18.001,42","17.939,56","92,88M","-0,02%"
12.03.2024,17965.11,"17.810,15","17.973,22","17.746,89","91,39M","1,23%"
11.03.2024,17746.27,"17.690,95","17.750,72","17.662,55","66,65M","-0,38%"
08.03.2024,17814.51,"17.849,85","17.860,51","17.795,13","67,94M","-0,16%"
07.03.2024,17842.85,"17.648,89","17.879,11","17.619,40","86,70M","0,71%"
06.03.2024,17716.71,"17.685,92","17.745,16","17.682,51","91,49M","0,10%"
05.03.2024,17698.4,"17.682,78","17.746,57","17.643,11","74,18M","-0,10%"
04.03.2024,17716.17,"17.743,44","17.756,39","17.684,73","1,22M","-0,11%"
01.03.2024,17735.07,"17.793,47","17.816,52","17.690,89","85,78M","0,32%"
29.02.2024,17678.19,"17.634,61","17.742,48","17.620,11","102,74M","0,44%"
28.02.2024,17601.22,"17.569,61","17.605,61","17.552,98","56,65M","0,25%"
27.02.2024,17556.49,"17.431,37","17.563,41","17.428,17","59,73M","0,76%"
26.02.2024,17423.23,"17.396,74","17.460,53","17.396,40","53,16M","0,02%"
23.02.2024,17419.33,"17.372,01","17.443,74","17.354,76","76,80M","0,28%"
22.02.2024,17370.45,"17.326,76","17.429,66","17.279,73","86,13M","1,47%"
21.02.2024,17118.12,"17.102,08","17.157,95","17.063,25","59,40M","0,29%"
20.02.2024,17068.43,"17.066,23","17.084,87","17.019,15","62,71M","-0,14%"
19.02.2024,17092.26,"17.075,74","17.098,61","17.049,22","43,23M","-0,15%"
16.02.2024,17117.44,"17.117,37","17.198,45","17.060,38","76,38M","0,42%"
15.02.2024,17046.69,"17.022,54","17.089,12","17.003,82","83,79M","0,60%"
14.02.2024,16945.48,"16.872,89","16.957,78","16.857,34","53,72M","0,38%"
13.02.2024,16880.83,"16.987,09","16.991,61","16.831,53","62,96M","-0,92%"
12.02.2024,17037.35,"16.975,99","17.042,74","16.958,80","53,29M","0,65%"
09.02.2024,16926.5,"16.973,58","16.993,12","16.876,36","61,64M","-0,22%"
08.02.2024,16963.83,"16.936,14","17.029,54","16.889,13","67,42M","0,25%"
07.02.2024,16921.96,"17.020,77","17.021,55","16.907,15","93,04M","-0,65%"
06.02.2024,17033.24,"16.965,89","17.049,52","16.871,32","75,54M","0,76%"
05.02.2024,16904.06,"16.925,97","16.972,62","16.859,00","69,94M","-0,08%"
02.02.2024,16918.21,"16.977,75","17.004,55","16.894,67","85,85M","0,35%"
01.02.2024,16859.04,"16.834,13","16.915,92","16.821,60","89,45M","-0,26%"
31.01.2024,16903.76,"16.972,47","16.991,84","16.884,87","84,39M","-0,40%"
30.01.2024,16972.34,"16.991,37","16.999,58","16.946,56","61,11M","0,18%"
29.01.2024,16941.71,"16.925,39","16.941,71","16.860,05","65,96M","-0,12%"
26.01.2024,16961.39,"16.879,01","16.967,72","16.849,31","84,66M","0,32%"
25.01.2024,16906.92,"16.849,76","16.916,60","16.785,69","62,02M","0,10%"
