Date,Close,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Αλλ.%
24.05.2024,11911.31,"11.893,67","11.924,29","11.807,93","-0,04%",
23.05.2024,11916.5,"11.890,72","11.980,15","11.887,35","0,25%",
22.05.2024,11887.1,"11.932,17","11.934,22","11.876,52","-0,43%",
21.05.2024,11938.72,"11.981,01","11.981,01","11.889,23","-0,43%",
20.05.2024,11990.83,"11.958,40","12.001,93","11.958,40","0,30%",
17.05.2024,11955.18,"11.948,80","11.965,20","11.898,74","-0,16%",
16.05.2024,11974.5,"12.027,21","12.042,88","11.964,27","-0,47%",
15.05.2024,12031.34,"11.989,72","12.034,65","11.970,39","0,42%",
14.05.2024,11980.94,"11.978,77","11.988,63","11.928,24","0,03%",
13.05.2024,11977.8,"11.988,60","11.998,93","11.952,10","-0,03%",
10.05.2024,11981.4,"11.924,01","12.009,22","11.924,01","0,62%",
09.05.2024,11908.16,"11.825,49","11.914,80","11.812,41","0,52%",
08.05.2024,11846.08,"11.815,82","11.868,11","11.812,15","0,44%",
07.05.2024,11794.19,"11.685,39","11.795,62","11.680,66","1,19%",
06.05.2024,11655.14,"11.570,63","11.683,73","11.570,43","0,79%",
03.05.2024,11564.29,"11.516,26","11.619,13","11.505,38","0,68%",
02.05.2024,11486.64,"11.525,91","11.540,89","11.480,77","-0,60%",
01.05.2024,11555.84,"11.555,84","11.555,84","11.555,84","0,00%",
30.04.2024,11555.84,"11.706,87","11.712,92","11.544,91","-1,12%",
29.04.2024,11686.93,"11.764,68","11.794,23","11.685,36","-0,46%",
26.04.2024,11740.73,"11.607,94","11.766,84","11.607,94","1,53%",
25.04.2024,11563.35,"11.690,58","11.693,05","11.472,64","-1,02%",
24.04.2024,11682.45,"11.717,63","11.780,68","11.663,56","-0,31%",
23.04.2024,11718.2,"11.561,73","11.725,05","11.561,73","1,53%",
22.04.2024,11541.43,"11.504,47","11.581,93","11.487,31","0,55%",
19.04.2024,11478.5,"11.463,33","11.514,18","11.399,21","-0,37%",
18.04.2024,11521.64,"11.494,23","11.538,94","11.454,04","0,46%",
17.04.2024,11469.26,"11.480,01","11.595,95","11.433,71","-0,06%",
16.04.2024,11475.95,"11.581,34","11.581,34","11.434,90","-1,33%",
15.04.2024,11630.48,"11.594,36","11.747,72","11.594,36","0,59%",
12.04.2024,11561.71,"11.634,10","11.722,45","11.515,08","-0,22%",
11.04.2024,11587.29,"11.651,39","11.688,57","11.512,00","-0,61%",
10.04.2024,11658.11,"11.671,33","11.742,85","11.542,38","0,20%",
09.04.2024,11634.95,"11.746,46","11.746,46","11.612,41","-1,09%",
08.04.2024,11763.54,"11.684,20","11.779,73","11.668,56","0,68%",
05.04.2024,11684.45,"11.751,69","11.751,69","11.616,68","-1,10%",
04.04.2024,11814.95,"11.817,44","11.858,22","11.803,04","0,03%",
03.04.2024,11811.42,"11.761,46","11.815,96","11.757,80","0,54%",
